roster_id,slot,player_id,name,position,team,injury_status,is_starter,keeper
4,,8205,Isiah Pacheco,RB,KC,Out,0,0
4,,9504,Kayshon Boutte,WR,NE,Out,0,0
5,1,11563,Bo Nix,QB,DEN,,1,0
5,2,4034,Christian McCaffrey,RB,SF,,1,0
5,3,5892,David Montgomery,RB,DET,,1,0
5,4,8148,Jameson Williams,WR,DET,,1,0
5,5,7090,Darnell Mooney,WR,ATL,,1,0
5,6,1466,Travis Kelce,TE,KC,,1,0
5,7,8676,Rashid Shaheed,WR,SEA,,1,0
5,8,11539,Jake Bates,K,DET,,1,0
5,9,GB,Green Bay,DEF,GB,,1,0
5,,12490,Bhayshul Tuten,RB,JAX,,0,0
5,,12514,Emeka Egbuka,WR,TB,,0,0
5,,1373,Geno Smith,QB,LV,Questionable,0,0
5,,17,Matt Prater,K,BUF,,0,0
5,,4195,Jake Elliott,K,PHI,,0,0
5,,4988,Nick Chubb,RB,HOU,Questionable,0,0
5,,5849,Kyler Murray,QB,ARI,IR,0,0
6,1,8183,Brock Purdy,QB,SF,Questionable,1,0
6,2,9221,Jahmyr Gibbs,RB,DET,,1,0
6,3,6790,D'Andre Swift,RB,CHI,Questionable,1,0
6,4,9488,Jaxon Smith-Njigba,WR,SEA,,1,0
6,5,8144,Chris Olave,WR,NO,,1,0
6,6,11604,Brock Bowers,TE,LV,,1,0
6,7,8134,Khalil Shakir,WR,BUF,,1,0
6,8,2747,Jason Myers,K,SEA,,1,0
6,9,DEN,Denver,DEF,DEN,,1,0
6,,10213,Tre Tucker,WR,LV,,0,0
6,,11566,Jayden Daniels,QB,WAS,Out,0,0
6,,11603,AJ Barner,TE,SEA,Questionable,0,0
6,,11627,Troy Franklin,WR,DEN,,0,0
6,,4219,Jeremy McNichols,RB,WAS,,0,0
6,,7523,Trevor Lawrence,QB,JAX,,0,0
6,,9224,Chase Brown,RB,CIN,,0,0
6,,9480,Brenton Strange,TE,JAX,IR,0,0
7,1,3163,Jared Goff,QB,DET,,1,0
7,2,12533,Jacory Croskey-Merritt,RB,WAS,,1,0
7,3,11199,Emari Demercado,RB,ARI,,1,0
7,4,8142,Alec Pierce,WR,IND,,1,0
7,5,11635,Ladd McConkey,WR,LAC,,1,0
7,6,12493,Oronde Gadsden,TE,LAC,,1,0
7,7,9487,Parker Washington,WR,JAX,,1,0
7,8,1945,Chris Boswell,K,PIT,,1,0
7,9,BUF,Buffalo,DEF,BUF,,1,0
7,,11584,Bucky Irving,RB,TB,Out,0,0
7,,12474,Woody Marks,RB,HOU,,0,0
7,,12485,Tez Johnson,WR,TB,,0,0
7,,4018,Joe Mixon,RB,HOU,PUP,0,0
7,,5870,Daniel Jones,QB,IND,,0,0
7,,6803,Brandon Aiyuk,WR,SF,PUP,0,0
7,,7002,Juwan Johnson,TE,NO,,0,0
